model,fold,method,deletion_auc,insertion_auc,source
resnet50,fold_1,integrated_gradients,0.5937244675015099,0.728864260080387,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\resnet50\faithfulness_metrics.csv
resnet50,fold_1,occlusion,0.520617501512713,0.6553017498250895,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\resnet50\faithfulness_metrics.csv
vit_small,fold_1,gradcam,0.6330615895694549,0.672909856736757,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\vit_small\faithfulness_metrics.csv
vit_small,fold_1,gradcam++,0.6197667667875066,0.6778546359958126,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\vit_small\faithfulness_metrics.csv
vit_small,fold_1,gradient_shap,0.4682550506146314,0.7313315081827653,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\vit_small\faithfulness_metrics.csv
vit_small,fold_1,guided_backprop,0.4855441112538489,0.7325766099970011,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\vit_small\faithfulness_metrics.csv
vit_small,fold_1,integrated_gradients,0.4689030305047054,0.7308736796996866,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\vit_small\faithfulness_metrics.csv
vit_small,fold_1,occlusion,0.4729821395482868,0.7655003727522368,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\vit_small\faithfulness_metrics.csv
cbm_leaky,fold_2,gradcam,0.5725917029948614,0.7433567568258538,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\cbm_leaky\faithfulness_metrics.csv
cbm_leaky,fold_2,gradcam++,0.5989007790332543,0.7815420857973707,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\cbm_leaky\faithfulness_metrics.csv
cbm_leaky,fold_2,gradient_shap,0.4756590007498744,0.7568562554272745,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\cbm_leaky\faithfulness_metrics.csv
cbm_leaky,fold_2,guided_backprop,0.524459785762049,0.7146527881056634,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\cbm_leaky\faithfulness_metrics.csv
