model,sample_idx,feature_autocorrelation,feature_total_variation,feature_entropy_norm,feature_coherence_score,feature_fragmentation_score
resnet50,78,0.716704020692309,0.5603923368069125,0.7989824327858811,0.45931013873019044,0.4477436325765518
resnet50,79,0.6204113657433017,0.5330058449213272,0.7687619420747156,0.4047025442196802,0.40975460847889417
resnet50,80,0.6129859130204763,0.5831700349653648,0.8013265197528266,0.38718893074166016,0.46730961454293
resnet50,81,0.7073762090075162,0.592109555541942,0.8206448401178337,0.4443012144140613,0.4859116515399586
resnet50,82,0.6738950940157912,0.5615970285832086,0.7951467011273627,0.43154224917243633,0.4465520246408676
resnet50,83,0.5900525964753442,0.6057515376918671,0.7965431427551537,0.3674619532505603,0.4825072335618467
resnet50,84,0.6258104821060051,0.5991762766877748,0.8247414527277117,0.39133302014846555,0.4941655128754568
resnet50,85,0.6500862964654093,0.6206682499467853,0.7987132235826685,0.4011223743580803,0.49573593869041027
resnet50,86,0.6644908534755629,0.5936948340722826,0.7967410550089318,0.41694986974239306,0.47302104845210313
resnet50,87,0.7487188047833361,0.5530080408836032,0.8355607565309597,0.4821087754042427,0.46207181700840744
resnet50,88,0.5766323249106537,0.5888555425285904,0.7928995924173233,0.3629230659906123,0.46690331966360116
resnet50,89,0.71022549154987,0.553138801886222,0.8217660672133825,0.45728397918288494,0.45455069784916297
resnet50,90,0.6932946939869673,0.5794147494937169,0.8160348565754764,0.4389567048232288,0.4728226320008208
resnet50,91,0.6603489742160241,0.5829972652316904,0.789049886880711,0.4171510518177517,0.46001392618282916
resnet50,92,0.6469964303845255,0.5308943470009312,0.7486161942428765,0.42262644163002583,0.3974361055968942
resnet50,93,0.5914392908889696,0.5938184027729498,0.7890339013765638,0.3710832362457194,0.46854285104914034
resnet50,94,0.590952035375807,0.5862625941660038,0.7793179433048921,0.37254363656384837,0.45688495912204075
resnet50,95,0.69729766290037,0.5428562487122424,0.7347762491151204,0.4519524508406893,0.3988778782374863
resnet50,96,0.6445715969323729,0.5707471513377627,0.7277380959284859,0.4103598700678265,0.4153544451711508
resnet50,97,0.6911526774759142,0.5807469837024732,0.7645045221318778,0.4372316914735308,0.4439836952549887
resnet50,98,0.6398268713184918,0.5503799898596166,0.7592122340143926,0.4126903568823968,0.41785522165813827
resnet50,99,0.619801783972676,0.5340116982560457,0.7230007823754222,0.40403980274550905,0.3860908756367489
